name,price,url,destination,duration,aHref,hrefTags,hotel,flight,category,caption
DOOARS TOURISM,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJag6uRXBfVmhJU68JXJ9xgcyjw7oo57dYr-X0Ir2aYLWe_r_XoFgywujBkEubJ2-G2_wHXjpjaCPNCE1FP6CeDcIj9iOHZ16A7W5Gcb1bPS0iU8KW_WDPjcaL9v_1PKabgp2ohCmrF1FwRrktsSElwhyXfUbAgu47wI3iRW5j22ypMH&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,DOOARS TOURISM tourist attraction point of interest establishment
Koshala View Point,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJYPButBeIu8z47hZYcXTJLQomRIOQ4-GnVlXYEPsY90djBkA7kZtx9CwqzUdGBzn1okx1ni-rYVA0cjXmq6xJ7utPhMrYfRi5qmYWamGcx-U4jYFVr2If4mqhkjfzG0iCqDEIMm--lsbiCGKRxUeJVzdMPfTG0xfDvtMd1qC4Wk17Gs&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Koshala View Point tourist attraction point of interest establishment
Dorji Khando,,,,,,,,,,Dorji Khando tourist attraction point of interest establishment
Pasakha picnic spot,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJZn--dBRbcN9mzZBRucwEXVFpQuFJpDO0xzKZNQBpmD6coE8XCk2SwkPwT4eIfvMQcvWcnTQKZIXqtBOO-aiM71i4KBTaHFMg1LKcflDb6x_xiUjVGIN0eWrCwCCPwInKNhHT2XoFy8OTuDXRUyZWqYisUoyWTVvIEkuOHNtkUJwv7s&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Pasakha picnic spot tourist attraction point of interest establishment
Simply Bhutan,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJa3cawqzjGGLqApOsMMBn1Ct7ZjyWX7fAMCEuyA_TTmuKIuTCcFfPRUQdFFX0c2St_qgYzZoeODpNZkegNvdOU4JnSkiUh9_HSLXJuZc2j2HRtOl-vkY05QkzbAnLpPLiKIellDiMq-sKWN0-LHk90XpVR28NlQSukZoSPSkx0BltEO&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Simply Bhutan tourist attraction museum point of interest establishment
LUNANA VILLAGE,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJY4DYvAcU5Ve2PzOz4hmCQ0ekW8g2QJGpb45vAGyo57ARGZvfNNk5B94_RaLOELcK9va4s87EDasZwUbAfjwjG7lBXiALCn5VAjHq0918PwJkqIyVM6eSCUEjOs2x0L0bi-M58Or57T2WuCKsHgs6GnnE3r1Zk6RxTsyeYgscRPM2mJ&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,LUNANA VILLAGE tourist attraction point of interest establishment
Phobjikha View Point Chorten,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJadCOZeAfWQcWBALGKdAeAJyipqle8wUMilWW1IN7Ms2A5nRtqvnED4imOwVcZtai7cnbiOGe3t9yiioVgjVZWG2fmigPq6XGyIXeJjUFn4B7N4z9HU5bAQKE4K5f6wH8CAVaW0bPO1ZsKPQRvqFlfVnV3qJidgpFdUsVyI5c-rcFrQ&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Phobjikha View Point Chorten tourist attraction point of interest establishment
Kalamati,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJY0udN6CTGgdoJJGoKNJokxaZ8aOC080d2MiPRzpsUfa8UvQmJ9vRPJT3SlDcmEdybUyJNSkwUfKL_8ZXQ6rA-e3gQ9Fawqaa7oi-QcqN_yJVjDWBMlUcGN1-RyEr7PQrKZ5gcsvUg_85coaVoajdgS7_ZZgpDy7PwxkKhpvV959Yz4&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Kalamati tourist attraction point of interest establishment
Jayanti Picnic Spot,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJYolGOARE4ek9FX867caMCwoOAC1ebGKyF8kY5p16uqdJbgYlfZ2rwWXvcPQWwKv9uxHDe8IKsZC4iZUudMaivct2wvHeUBFruGLXf8uIhhWRT7PknJp_vnciizFOidP9bSGPMwioob_-oZMElOWNLtG_4lTcjW-1zM8WlQSLcMviwm&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Jayanti Picnic Spot tourist attraction point of interest establishment
Panga Teng Tso lake,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJavAd9KAJQrWHocqhJMaOg1oQRq7t68tbcDOFX2lY9ZFA5r1M4ZBrGTrF3wK2avi1XZXF7SAeR14v7u2MOCjTMLllXBa9b2j5R4dDC9-NL2FfFwJYC6hNt5nRUTWXrrHzsfFXkHSvnTmQjO2rKsPYadY-oed0ZIyqAbNJYZH_xNwPlT&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Panga Teng Tso lake tourist attraction point of interest establishment
